WalkID 1, Step 62, ID 176, energy -194.39498930939288, accpeted false
WalkID 2, Step 56, ID 3, energy -195.2490972116438, accpeted true
WalkID 4, Step 54, ID 177, energy -193.98598892154104, accpeted false
WalkID 3, Step 51, ID 178, energy -195.17475055005158, accpeted true
WalkID 1, Step 63, ID 179, energy -194.6931896575104, accpeted false
WalkID 2, Step 57, ID 180, energy -194.93339483199594, accpeted false
WalkID 4, Step 55, ID 181, energy -194.3645132849673, accpeted false
WalkID 3, Step 52, ID 44, energy -195.1793682929857, accpeted true
WalkID 1, Step 64, ID 182, energy -195.11170875795307, accpeted true
WalkID 2, Step 58, ID 7, energy -195.2291901731466, accpeted true
WalkID 1, Step 65, ID 183, energy -194.2086849404082, accpeted false
WalkID 4, Step 56, ID 184, energy -193.4156835178171, accpeted false
WalkID 3, Step 53, ID 185, energy -194.42660210012417, accpeted false
WalkID 2, Step 59, ID 186, energy -194.97496357260252, accpeted false
WalkID 4, Step 57, ID 187, energy -194.4731334605547, accpeted true
WalkID 1, Step 66, ID 166, energy -195.11303509331324, accpeted true
WalkID 1, Step 67, ID 179, energy -194.69250419318868, accpeted false
WalkID 3, Step 54, ID 188, energy -195.17239108117255, accpeted true
WalkID 2, Step 60, ID 7, energy -195.22918526716003, accpeted true
WalkID 4, Step 58, ID 189, energy -194.05366650772658, accpeted false
WalkID 1, Step 68, ID 190, energy -195.11341989395814, accpeted true
WalkID 2, Step 61, ID 191, energy -194.20240405193226, accpeted false
WalkID 3, Step 55, ID 192, energy -194.38169248046998, accpeted false
WalkID 4, Step 59, ID 193, energy -194.12985593241504, accpeted false
WalkID 1, Step 69, ID 194, energy -194.79959209054786, accpeted false
WalkID 3, Step 56, ID 195, energy -195.177323402292, accpeted true
WalkID 4, Step 60, ID 196, energy -194.53679795578952, accpeted true
WalkID 1, Step 70, ID 197, energy -195.1138550088952, accpeted true
WalkID 2, Step 62, ID 7, energy -195.22918612683293, accpeted true
WalkID 4, Step 61, ID 198, energy -194.12220992437162, accpeted false
WalkID 3, Step 57, ID 199, energy -195.0398514453767, accpeted false
WalkID 1, Step 71, ID 127, energy -195.11313575512514, accpeted true
WalkID 3, Step 58, ID 200, energy -194.7640127168365, accpeted false
WalkID 2, Step 63, ID 201, energy -194.31272004795449, accpeted false
WalkID 1, Step 72, ID 202, energy -194.82941866076385, accpeted false
WalkID 3, Step 59, ID 203, energy -195.1798606225922, accpeted true
WalkID 4, Step 62, ID 204, energy -194.43661957785272, accpeted false
WalkID 3, Step 60, ID 206, energy -194.9357634332904, accpeted false
WalkID 1, Step 73, ID 205, energy -195.1138059865735, accpeted true
WalkID 2, Step 64, ID 3, energy -195.24911214912555, accpeted true
WalkID 4, Step 63, ID 207, energy -194.57304544265557, accpeted true
WalkID 2, Step 65, ID 208, energy -194.91963859394474, accpeted false
WalkID 1, Step 74, ID 144, energy -195.10992445925692, accpeted true
WalkID 3, Step 61, ID 4, energy -195.19105978774388, accpeted true
WalkID 1, Step 75, ID 209, energy -194.60522447766203, accpeted false
WalkID 4, Step 64, ID 210, energy -194.2420161847317, accpeted false
WalkID 2, Step 66, ID 211, energy -194.2389142714419, accpeted false
WalkID 1, Step 76, ID 205, energy -195.11388596758587, accpeted true
WalkID 2, Step 67, ID 212, energy -194.58260024351517, accpeted false
WalkID 3, Step 62, ID 4, energy -195.19106078276246, accpeted true
WalkID 4, Step 65, ID 213, energy -194.50482748308642, accpeted false
WalkID 1, Step 77, ID 214, energy -194.92118790994434, accpeted false
WalkID 2, Step 68, ID 215, energy -194.83541134737698, accpeted false
WalkID 1, Step 78, ID 216, energy -194.71939715017672, accpeted false
WalkID 4, Step 66, ID 217, energy -194.48274762743392, accpeted true
WalkID 3, Step 63, ID 4, energy -195.19105280708234, accpeted true
WalkID 2, Step 69, ID 3, energy -195.24909935313886, accpeted true
WalkID 1, Step 79, ID 166, energy -195.11283189781335, accpeted true
WalkID 3, Step 64, ID 218, energy -194.45871000478095, accpeted false
WalkID 2, Step 70, ID 3, energy -195.24910458935466, accpeted true
WalkID 4, Step 67, ID 219, energy -194.48277305018715, accpeted true
WalkID 1, Step 80, ID 220, energy -194.77363390543746, accpeted false
WalkID 4, Step 68, ID 221, energy -194.48264239131194, accpeted true
WalkID 2, Step 71, ID 3, energy -195.24910986136348, accpeted true
WalkID 3, Step 65, ID 4, energy -195.19104915146033, accpeted true
WalkID 1, Step 81, ID 222, energy -195.11026409888788, accpeted true
WalkID 2, Step 72, ID 3, energy -195.24910296332519, accpeted true
WalkID 4, Step 69, ID 221, energy -194.48277841729393, accpeted true
WalkID 3, Step 66, ID 223, energy -194.9721303839965, accpeted false
WalkID 2, Step 73, ID 224, energy -195.09719338749557, accpeted false
WalkID 4, Step 70, ID 225, energy -194.42027563759902, accpeted true
WalkID 3, Step 67, ID 226, energy -194.73084476520484, accpeted false
WalkID 1, Step 82, ID 139, energy -195.1134394497217, accpeted true
WalkID 2, Step 74, ID 3, energy -195.2490929672258, accpeted true
WalkID 3, Step 68, ID 4, energy -195.19104944175922, accpeted true
WalkID 1, Step 83, ID 222, energy -195.11009064257271, accpeted true
WalkID 4, Step 71, ID 227, energy -194.19274456365906, accpeted false
WalkID 3, Step 69, ID 228, energy -194.82728386479184, accpeted false
WalkID 2, Step 75, ID 3, energy -195.24910732063293, accpeted true
WalkID 1, Step 84, ID 229, energy -194.58353491455213, accpeted false
WalkID 3, Step 70, ID 230, energy -195.01554568938613, accpeted false
WalkID 4, Step 72, ID 231, energy -194.3380952209438, accpeted false
WalkID 2, Step 76, ID 232, energy -194.2668702776439, accpeted false
WalkID 4, Step 73, ID 233, energy -194.26795051630305, accpeted true
WalkID 1, Step 85, ID 234, energy -195.00260033225362, accpeted true
WalkID 3, Step 71, ID 4, energy -195.19105655072252, accpeted true
WalkID 2, Step 77, ID 235, energy -194.9293496013027, accpeted false
WalkID 2, Step 78, ID 236, energy -194.89974579162413, accpeted false
WalkID 4, Step 74, ID 237, energy -194.26995994181667, accpeted true
WalkID 1, Step 86, ID 166, energy -195.11313771725338, accpeted true
WalkID 3, Step 72, ID 4, energy -195.19105539391953, accpeted true
WalkID 2, Step 79, ID 3, energy -195.24910377642922, accpeted true
WalkID 4, Step 75, ID 238, energy -194.26847033858056, accpeted true
WalkID 1, Step 87, ID 239, energy -194.58971541649714, accpeted false
WalkID 2, Step 80, ID 240, energy -194.9278038374278, accpeted false
WalkID 3, Step 73, ID 241, energy -193.64664576985786, accpeted false
WalkID 3, Step 74, ID 242, energy -194.7190262950302, accpeted false
WalkID 4, Step 76, ID 243, energy -194.30172178639376, accpeted true
WalkID 1, Step 88, ID 166, energy -195.1129437807274, accpeted true
WalkID 2, Step 81, ID 3, energy -195.24910610977054, accpeted true
WalkID 3, Step 75, ID 244, energy -194.6226759113502, accpeted false
