WalkID 1, Step 98, ID 180, energy -195.09872952415446, accpeted false
WalkID 3, Step 95, ID 271, energy -195.1747021569671, accpeted true
WalkID 4, Step 96, ID 272, energy -194.9140041927619, accpeted false
WalkID 1, Step 99, ID 273, energy -195.10291144939555, accpeted false
WalkID 3, Step 96, ID 4, energy -195.19105194118555, accpeted true
WalkID 1, Step 100, ID 274, energy -195.09443237138532, accpeted false
WalkID 3, Step 97, ID 275, energy -194.46999849952266, accpeted false
WalkID 4, Step 97, ID 2, energy -195.2490885614396, accpeted true
WalkID 3, Step 98, ID 276, energy -195.17280511425798, accpeted true
WalkID 4, Step 98, ID 2, energy -195.24909834885491, accpeted true
WalkID 3, Step 99, ID 4, energy -195.19105689687214, accpeted true
WalkID 4, Step 99, ID 277, energy -194.82696129439952, accpeted false
WalkID 3, Step 100, ID 278, energy -194.9362409351116, accpeted false
WalkID 4, Step 100, ID 279, energy -194.69191586267598, accpeted false
